Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
MBCN,Middlefield Banc Corp.,209.19M,25.91,-6.23%,65.89M
AVR,Anteris Technologies Global Corp.,208.67M,6.20,3.68%,2.83M
CGEN,Compugen Ltd.,208.62M,2.330,-0.85%,59.85M
HSHP,Himalaya Shipping Ltd.,208.33M,4.830,1.90%,112.30M
POWW,"AMMO, Inc.",207.82M,1.750,1.16%,135.50M
UTMD,"Utah Medical Products, Inc.",207.67M,61.23,0.02%,40.90M
SKIN,The Beauty Health Company,207.28M,1.670,-,347.62M
GASS,StealthGas Inc.,207.22M,5.64,-0.35%,157.93M
ESCA,"Escalade, Incorporated",205.66M,14.82,-3.83%,253.07M
ELLO,Ellomay Capital Ltd.,205.64M,16.00,-,44.85M
WRN,Western Copper and Gold Corporation,205.45M,1.040,0.97%,-
STXS,"Stereotaxis, Inc.",205.05M,2.420,2.11%,25.14M
GTE,Gran Tierra Energy Inc.,204.92M,5.71,-0.35%,629.50M
ISSC,"Innovative Solutions and Support, Inc.",204.68M,11.67,5.14%,47.20M
DMAA,Drugs Made In America Acquisition Corp.,204.31M,10.02,-0.05%,-
LOGC,ContextLogic Inc.,204.23M,7.77,4.72%,96.00M
MYFW,"First Western Financial, Inc.",203.98M,21.10,0.14%,79.65M
RDCM,RADCOM Ltd.,203.77M,12.83,-0.16%,58.76M
TMQ,Trilogy Metals Inc.,203.50M,1.250,0.81%,-
CDTX,"Cidara Therapeutics, Inc.",203.19M,18.58,2.62%,44.65M
MITT,"AG Mortgage Investment Trust, Inc.",202.73M,6.87,1.63%,80.74M
BCOV,Brightcove Inc.,201.64M,4.440,0.23%,199.83M
KRMD,"KORU Medical Systems, Inc.",201.23M,4.390,3.05%,31.99M
MYO,"Myomo, Inc.",200.46M,6.03,1.86%,25.24M
ACB,Aurora Cannabis Inc.,200.07M,3.650,-4.45%,219.84M
BLFY,Blue Foundry Bancorp,200.02M,9.75,-1.32%,40.69M
ADUR,Aduro Clean Technologies Inc.,199.95M,6.08,0.50%,213.43K
BWAY,BrainsWay Ltd.,199.89M,10.51,-1.04%,38.63M
FTEL,Fitell Corporation,199.83M,9.93,-7.80%,4.47M
ESOA,Energy Services of America Corporation,199.63M,12.01,1.01%,351.88M
PROP,Prairie Operating Co.,199.45M,8.70,-4.81%,1.55M
OBIO,"Orchestra BioMed Holdings, Inc.",199.19M,5.24,-6.26%,2.65M
SWKH,SWK Holdings Corporation,198.79M,16.25,-1.40%,24.73M
MFIN,Medallion Financial Corp.,198.61M,8.95,-5.29%,293.26M
FCCO,First Community Corporation,198.22M,25.93,0.43%,65.14M
CYBN,Cybin Inc.,198.21M,9.91,-0.70%,-
TRVG,trivago N.V.,197.92M,2.830,1.07%,510.56M
SLRN,"Acelyrin, Inc.",197.64M,1.970,-0.51%,-
CSPI,CSP Inc.,197.45M,19.98,14.04%,55.22M
CRGO,Freightos Limited,197.43M,4.000,8.99%,22.46M
OPBK,OP Bancorp,196.81M,13.28,-4.36%,79.28M
EP,Empire Petroleum Corporation,196.75M,5.85,-3.78%,43.25M
INBX,"Inhibrx Biosciences, Inc.",196.58M,13.58,0.22%,1.57M
WNEB,"Western New England Bancorp, Inc.",195.92M,9.42,0.21%,73.39M
PVBC,"Provident Bancorp, Inc.",195.89M,11.71,-1.43%,55.40M
VABK,Virginia National Bankshares Corporation,195.82M,36.46,-,53.66M
EMX,EMX Royalty Corporation,195.40M,1.760,-,26.82M
SEVN,Seven Hills Realty Trust,195.23M,13.10,0.31%,30.40M
FFNW,"First Financial Northwest, Inc.",194.96M,21.14,-1.03%,37.61M
OGI,Organigram Holdings Inc.,194.81M,1.500,-3.23%,118.32M
MOLN,Molecular Partners AG,194.58M,5.16,-3.55%,7.11M
